Company/Brand,Year1,Revenue1,Year2,Revenue2,Year3,Revenue3,Year4,Revenue4,Year5,Revenue5,HQ,Sector,Founders,Investor,Amount($),Stage,What it does,,,,,,,,,,,,,,,
FreeStand,2021,700000,2022,500000,2023,200000,NA,NA,NA,NA,Haryana,B2B,"Konark Sharma, Sneh Soni","SucSEED Indovation, IIM Calcutta Innovation Park",100000,,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,,,,,,,,,,,,,,,
MyDentalPlan,2021,4900000,2022,3500000,2023,1400000,NA,NA,NA,NA,Hyderabad,Health Care,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,700000,Seed,My Dental Plan provides dental care packages and services.,,,,,,,,,,,,,,,
Freyr Energy,2021,14000000,2022,10000000,2023,4000000,NA,NA,NA,NA,Bangalore,Renewable Energy,"Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners",2000000,,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",,,,,,,,,,,,,,,
DealShare,2021,63000000,2022,45000000,2023,18000000,NA,NA,NA,NA,Mumbai,E-commerce,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",9000000,,DealShare is a Social Commerce Startup,,,,,,,,,,,,,,,
Smart Joules,2021,343000000,2022,245000000,2023,98000000,NA,NA,NA,NA,New Delhi,Renewable Energy,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm",49000000,,Smart Joules is an energy management company.,,,,,,,,,,,,,,,
ORAI,2021,2800000,2022,2000000,2023,800000,NA,NA,NA,NA,Ahmadabad,Information Technology,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,400000,Pre-series A,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,,,,,,,,,,,,,,,
ixamBee,2021,2100000,2022,1500000,2023,600000,NA,NA,NA,NA,Gurugram,EdtTech,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",300000,Seed,ixamBee is to provide best online learning experience for preparation of competitive exams.,,,,,,,,,,,,,,,
CoinSwitch Kuber,2021,175000000,2022,125000000,2023,50000000,NA,NA,NA,NA,Chennai,Fintech,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",25000000,Series B,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,,,,,,,,,,,,,,,
Razorpay,2021,1120000000,2022,800000000,2023,320000000,NA,NA,NA,NA,Mumbai,Fintech,"Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",160000000,Series E,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",,,,,,,,,,,,,,,
ZFW Hospitality,2021,1050000,2022,750000,2023,300000,NA,NA,NA,NA,Noida,Food & Beverages,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",150000,Pre-seed,Creating a sustainable and scalable cloud kitchen network.,,,,,,,,,,,,,,,
Northern Arc,2021,35000000,2022,25000000,2023,10000000,NA,NA,NA,NA,Hyderabad,Fintech,Kshama Fernandes,"Kotak Mahindra Bank, FMO",5000000,,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,,,,,,,,,,,,,,,
Chara,2021,5950000,2022,4250000,2023,1700000,NA,NA,NA,NA,Gurugram,Deeptech,"Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,850000,Seed,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",,,,,,,,,,,,,,,
Sirona Hygiene,2021,21000000,2022,15000000,2023,6000000,NA,NA,NA,NA,Bangalore,Health Care,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",3000000,Series A,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,,,,,,,,,,,,,,,
Pristyn Care,2021,371000000,2022,265000000,2023,106000000,NA,NA,NA,NA,New Delhi,Health Care,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",53000000,Series D,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,,,,,,,,,,,,,,,
Vidyakul,2021,3500000,2022,2500000,2023,1000000,NA,NA,NA,NA,Bangalore,EdtTech,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV",500000,Seed,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,,,,,,,,,,,,,,,
Jambox Games,2021,7700000,2022,5500000,2023,2200000,NA,NA,NA,NA,Bangalore,Gaming,Ravi Vyas,,1100000,Seed,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",,,,,,,,,,,,,,,
SuperK,2021,5600000,2022,4000000,2023,1600000,NA,NA,NA,NA,Gurugram,Retail,Neeraj Menta,STRIVE VC,800000,Seed,SuperK is a full-stack solution to empower small format retail stores in India.,,,,,,,,,,,,,,,
TagZ Foods,2021,3500000,2022,2500000,2023,1000000,NA,NA,NA,NA,Chennai,Food Delivery,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,500000,Pre-series A,TagZ Foods is a supplier of snacks and food products.,,,,,,,,,,,,,,,
M1xchange,2021,70000000,2022,50000000,2023,20000000,NA,NA,NA,NA,Bangalore,Fintech,Sundeep Mohindru,Amazon,10000000,,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,,,,,,,,,,,,,,,
Spintly,2021,3500000,2022,2500000,2023,1000000,NA,NA,NA,NA,Kolkata,Technology,Rohin Parkar,Riso Capital,500000,,Wireless cloud based access control platform,,,,,,,,,,,,,,,
EF Polymer,2021,1400000,2022,1000000,2023,400000,NA,NA,NA,NA,Hyderabad,AgriTech,Narayan Lal Gurjar,MTG Ventures,200000,,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,,,,,,,,,,,,,,,
LearnVern,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Kolkata,EdtTech,"Niral Modi, Aditi Modi",,1000000,,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,,,,,,,,,,,,,,,
LimeChat,2021,52500000,2022,37500000,2023,15000000,NA,NA,NA,NA,Bangalore,Artificial Intelligence,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",7500000,Seed,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,,,,,,,,,,,,,,,
Dybo,2021,700000,2022,500000,2023,200000,NA,NA,NA,NA,Bangalore,Information Technology,Dhawal Jain,Spanache,100000,Seed,Product Visualisation Technology for Commerce,,,,,,,,,,,,,,,
moEVing,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Chennai,Logistics & Supply Chain,VIKASH MISHRA,,1000000,Seed,"Delivering clean, cost-effective and efficient mobility solutions.",,,,,,,,,,,,,,,
WeWork India,2021,182000000,2022,130000000,2023,52000000,NA,NA,NA,NA,Gurugram,Hospitality,Karan Virwani,,26000000,,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",,,,,,,,,,,,,,,
Beldara,2021,51800000,2022,37000000,2023,14800000,NA,NA,NA,NA,Bangalore,E-commerce,Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000,,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",,,,,,,,,,,,,,,
CredFlow,2021,14000000,2022,10000000,2023,4000000,NA,NA,NA,NA,Telugana,Fintech,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000,Seed,CredFlow provides financial solutions to automate your cashflows.,,,,,,,,,,,,,,,
Do Your Thng,2021,10500000,2022,7500000,2023,3000000,NA,NA,NA,NA,Bangalore,Marketplace,Ankit Agarwal,"Angelbay Holdings, Faad Network",1500000,,World's first shared economy platform for digital assets.,,,,,,,,,,,,,,,
Oye Rickshaw,2021,21000000,2022,15000000,2023,6000000,NA,NA,NA,NA,New Delhi,Transportation,"Akash Deep, Mohit Sharma","Alteria Capital, Chiratae Ventures",3000000,,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,,,,,,,,,,,,,,,
Legitquest,2021,4200000,2022,3000000,2023,1200000,NA,NA,NA,NA,Noida,Legal Services,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge",600000,,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,,,,,,,,,,,,,,,
Swiggy,2021,5600000000,2022,4000000000,2023,1600000000,NA,NA,NA,NA,Pune,Food Delivery,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Carmignac, Falcon Edge Capital",800000000,,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,,,,,,,,,,,,,,,
PlayShifu,2021,119000000,2022,85000000,2023,34000000,NA,NA,NA,NA,Bangalore,EdtTech,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund",17000000,Series B,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,,,,,,,,,,,,,,,
Pitstop,2021,24500000,2022,17500000,2023,7000000,NA,NA,NA,NA,Mumbai,Electric Vehicle,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",3500000,Pre-series B,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,,,,,,,,,,,,,,,
Lendingkart,2021,105000000,2022,75000000,2023,30000000,NA,NA,NA,NA,New Delhi,Fintech,"Harshvardhan Lunia, Mukul Sachan","Bertelsmann India Investments, Fullerton Financial Holdings",15000000,Debt,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,,,,,,,,,,,,,,,
CRED,2021,1505000000,2022,1075000000,2023,430000000,NA,NA,NA,NA,Bangalore,Fintech,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management",215000000,Series D,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,,,,,,,,,,,,,,,
Karnival,2021,17500000,2022,12500000,2023,5000000,NA,NA,NA,NA,Mumbai,SaaS,Neeraj Tyagi,http://100x.vc/,2500000,Seed,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,,,,,,,,,,,,,,,
PharmEasy,2021,2450000000,2022,1750000000,2023,700000000,NA,NA,NA,NA,Gurugram,Health Care,"Dharmil Sheth, Dhaval Shah, Mikhil Innani","TPG Growth, Caisse de Depot et Placement du Quebec",350000000,Series E,"PharmEasy is a health tech startup offering services such as teleconsultation, medicine deliveries, and diagnostic test sample collection.",,,,,,,,,,,,,,,
WESS,2021,14000000,2022,10000000,2023,4000000,NA,NA,NA,NA,Bangalore,Renewable Energy,Hitesh Doshi,Centrum Financial Services,2000000,Seed,Waaree is India's Largest Solar Module Manufacturer & fastest growing EPC company with Presence across 68 countries.,,,,,,,,,,,,,,,
ShopSe,2021,38500000,2022,27500000,2023,11000000,NA,NA,NA,NA,Bangalore,Fintech,"Pallav Jain, Abhishek Nimonkar, Yagnesh Desai","Chiratae Ventures, BEENEXT",5500000,,Make purchases online or at neighborhood store in easy EMIs through ShopSe.,,,,,,,,,,,,,,,
Groww,2021,581000000,2022,415000000,2023,166000000,NA,NA,NA,NA,Gurugram,Fintech,"Harsh Jain, Ishan Bansal, Lalit Keshre, Neeraj Singh","Tiger Global Management, Y Combinator Continuity Fund",83000000,Series D,Groww is an investment platform that offers a new way of investing money with stockbroking and direct mutual funds.,,,,,,,,,,,,,,,
Avanti Finance,2021,182000000,2022,130000000,2023,52000000,NA,NA,NA,NA,Chennai,Fintech,"Ratan Tata, Nandan Nilekani",Michael & Susan Dell Foundation,26000000,Series A,Avanti Finance lends relatively large but trust-based loans without formal credit footprint.,,,,,,,,,,,,,,,
OfBusiness,2021,770000000,2022,550000000,2023,220000000,NA,NA,NA,NA,Bangalore,Fintech,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar","Falcon Edge India, Norwest Venture Partners",110000000,,OfBusiness is a financing platform that offers smart financing to SMEs.,,,,,,,,,,,,,,,
ShareChat,2021,3500000000,2022,2500000000,2023,1000000000,NA,NA,NA,NA,Bhubaneswar,Media,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan","Twitter Ventures, Pawan Munjal",500000000,,ShareChat is a social networking and regional content platform.,,,,,,,,,,,,,,,
Spinny,2021,455000000,2022,325000000,2023,130000000,NA,NA,NA,NA,Bangalore,Retail,"Mohit Gupta, Niraj Singh, Ramanshu Mahaur","Arena Holdings, Think Investments",65000000,Series C,Spinny is a used car buying platform enabling trustworthy and hassle-free transactions.,,,,,,,,,,,,,,,
Alteria Capital,2021,1.05E+12,2022,7.5E+11,2023,3E+11,NA,NA,NA,NA,Bangalore,Fintech,Vinod Murali,,1.50E+11,Debt,Alteria Capital is a Venture debt firm .,,,,,,,,,,,,,,,
Safexpay,2021,42000000,2022,30000000,2023,12000000,NA,NA,NA,NA,New Delhi,Fintech,Ravi Gupta,"T Choithrams BVI, Ardor",6000000,,SafexPay is set up with the aim to build digital payments businesses and channel platforms encompassing payment gateways,,,,,,,,,,,,,,,
PumPumPum,2021,4900000,2022,3500000,2023,1400000,NA,NA,NA,NA,Bangalore,Rental,"Tarun Lawadia, Sameer Kalra","Kogta Financial India Limited, ICICI Bank",700000,Pre-series A,Pumpumpum is a car rental company.,,,,,,,,,,,,,,,
Speciale Invest,2021,70000000,2022,50000000,2023,20000000,NA,NA,NA,NA,Bangalore,Fintech,"Vishesh Rajaram, Arjun Rao",,10000000,,Speciale Invest is an early stage investor focusing on Tech-driven/Deep-tech ventures.,,,,,,,,,,,,,,,
Eunimart,2021,4900000,2022,3500000,2023,1400000,NA,NA,NA,NA,Jaipur,E-commerce,"Saikat Roy, Shayak Mazumder","SucSEED Venture Partners, TMT Connekt",700000,Pre-series A,Eunimart is a one stop solution for merchants to create a difference by selling globally.,,,,,,,,,,,,,,,
Meesho,2021,2100000000,2022,1500000000,2023,600000000,NA,NA,NA,NA,Kottayam,E-commerce,"Sanjeev Barnwal, Vidit Aatrey","SAIF Partners, Venture Highway",300000000,,Meesho operates as an online reselling platform that enables anyone to start a business without investment.,,,,,,,,,,,,,,,
CareerLabs,2021,15400000,2022,11000000,2023,4400000,NA,NA,NA,NA,Bangalore,EdtTech,"PN Santosh, Prasanna Alagesan, Krithika Srinivasan",Global Founders Capital,2200000,,"Aim to help students become future-ready, setting them on a path to success that suits them best.",,,,,,,,,,,,,,,
Uable,2021,245000000,2022,175000000,2023,70000000,NA,NA,NA,NA,Gurugram,EdtTech,Saurabh Saxena,"JAFCO Asia, Chiratae Ventures",35000000,Pre-series A,Uable are on a bold mission to redefine the future for millions of teenagers around the world.,,,,,,,,,,,,,,,
Zoko,2021,980000000,2022,700000000,2023,280000000,NA,NA,NA,NA,Bangalore,Technology,"Arjun Paul, Aromal Sivadasan",Y Combinator,140000000,Seed,"Zoko makes it easy for businesses to do Sales, Marketing & Customer Support on WhatsApp.",,,,,,,,,,,,,,,
GetWork,2021,1400000,2022,1000000,2023,400000,NA,NA,NA,NA,Bangalore,Recruitment,Rahul Veerwal,Artha Venture Fund,200000,Seed,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,,,,,,,,,,,,,,,
Easebuzz,2021,28000000,2022,20000000,2023,8000000,NA,NA,NA,NA,New Delhi,E-commerce,Rohit Prasad,"Jitendra Gupta, Amrish Rau",4000000,Series A,Easebuzz is an easy to use portal which allows you to start an online business and sell your favorite products with a free online store.,,,,,,,,,,,,,,,
Chingari,2021,91000000,2022,65000000,2023,26000000,NA,NA,NA,NA,Beijing,Media,Sumit Ghosh,"FJ Labs, Brian Norgard",13000000,,Chingari operates as a short video platform.,,,,,,,,,,,,,,,
DusMinute,2021,7700000,2022,5500000,2023,2200000,NA,NA,NA,NA,Mumbai,Retail,Apoorva Mishra,Indian Angel Network,1100000,Pre-series A,DusMinute aims to transform how communities live by giving them access to world-class amenities at their doorstep.,,,,,,,,,,,,,,,
Factors.AI,2021,14000000,2022,10000000,2023,4000000,NA,NA,NA,NA,Panaji,SaaS,"Aravind Murthy, Praveen Das, Srikrishna Swaminathan","Elevation Partners, Emergent Ventures",2000000,,"Factors.AI is a Marketing Analytics platform providing sophisticated omnichannel, every-touch attribution technology and unparalleled performance insights for Marketers",,,,,,,,,,,,,,,
OTO Capital,2021,42000000,2022,30000000,2023,12000000,NA,NA,NA,NA,Mumbai,Fintech,"Harsh Saruparia, Sumit Chhazed",Matrix Partners India,6000000,,The Future Of Vehicle Ownership!,,,,,,,,,,,,,,,
1Bridge,2021,17500000,2022,12500000,2023,5000000,NA,NA,NA,NA,New Delhi,Consumer Goods,"Madan Padaki, Anil Kumar, M Chakrawarty",C4D Partners,2500000,,"Village Commerce Network - Bridging Aspirations, Creating Opportunities, Bringing Prosperity & Abundance to our village",,,,,,,,,,,,,,,
Skeps,2021,66500000,2022,47500000,2023,19000000,NA,NA,NA,NA,Bangalore,Fintech,"Mayank Tewari, Tushar Srivastava",Bertelsmann India,9500000,,"A blockchain products company, developing a proprietary product in the FinTech space",,,,,,,,,,,,,,,
Curefoods,2021,91000000,2022,65000000,2023,26000000,NA,NA,NA,NA,Gurugram,Food & Beverages,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000,,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,,,,,,,,,,,,,,,
TartanSense,2021,35000000,2022,25000000,2023,10000000,NA,NA,NA,NA,Bangalore,Information Technology,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000,,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,,,,,,,,,,,,,,,
Kirana247,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Coimbatore,Logistics & Supply Chain,"Tarun Jiwarajka, Pankhuri Jiwarajka",,1000000,,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,,,,,,,,,,,,,,,
IsGoingOnline,2021,1400000,2022,1000000,2023,400000,NA,NA,NA,NA,Mumbai,Retail,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000,,Kochi-based digital catalogue and marketplace IsGoingOnline,,,,,,,,,,,,,,,
Camp K12,2021,84000000,2022,60000000,2023,24000000,NA,NA,NA,NA,New Delhi,EdtTech,Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000,,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",,,,,,,,,,,,,,,
Elda Health,2021,10500000,2022,7500000,2023,3000000,NA,NA,NA,NA,Mumbai,Health Care,"Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000,,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",,,,,,,,,,,,,,,
Advantage Club,2021,11900000,2022,8500000,2023,3400000,NA,NA,NA,NA,Gurugram,HR tech,"Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000,,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:",,,,,,,,,,,,,,,
SuperGaming,2021,38500000,2022,27500000,2023,11000000,NA,NA,NA,NA,Mumbai,Gaming,"Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000,,"At SuperGaming, building India's best gaming company.",,,,,,,,,,,,,,,
Ruptok,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Chennai,Fintech,Ankur Gupta,Eclear Leasing,1000000,,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",,,,,,,,,,,,,,,
Curefoods,2021,91000000,2022,65000000,2023,26000000,NA,NA,NA,NA,Bangalore,Food & Beverages,Ankit Nagori,"Iron Pillar, Nordstar, Binny Bansal",13000000,,Healthy & nutritious foods and cold pressed juices produced in Edinburgh. Currently distributing wholesale within the Edinburgh region.,,,,,,,,,,,,,,,
TartanSense,2021,35000000,2022,25000000,2023,10000000,NA,NA,NA,NA,Mumbai,Information Technology,Jaisimha Rao,"FMC, Omnivore, Blume Ventures",5000000,Series A,TartanSense unlocks value for small farm holders by working at the intersection of robotics and AI assisted computer vision.,,,,,,,,,,,,,,,
Kirana247,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Gurugram,Logistics & Supply Chain,"Tarun Jiwarajka, Pankhuri Jiwarajka",,1000000,Pre-series A,An on-demand FMCG supply chain company leveraging a deep tech-enabled micro warehousing model to serve Kirana stores.,,,,,,,,,,,,,,,
IsGoingOnline,2021,1400000,2022,1000000,2023,400000,NA,NA,NA,NA,New Delhi,Retail,Eobin Alex,"Unicorn India Ventures, SEA Fund, Devdatt Shah",200000,Pre-series A,Kochi-based digital catalogue and marketplace IsGoingOnline,,,,,,,,,,,,,,,
Camp K12,2021,84000000,2022,60000000,2023,24000000,NA,NA,NA,NA,Bangalore,EdtTech,Anshul Bhagi,"Matrix Partners India, Elevation Capital",12000000,Series A,"Camp K12 is a global online school for 21st century skills, teaching Coding and other STEAM subjects to kids age 6-18 via LIVE, interactive, gamified online sessions",,,,,,,,,,,,,,,
Elda Health,2021,10500000,2022,7500000,2023,3000000,NA,NA,NA,NA,New Delhi,Health Care,"Swathi Kulkarni, Sindhuri Ananth, Shubham Sharma","Avaana Capital, Orios Ventures",1500000,Seed,"Elda Health is a digital wellness platform that understands women intimately and offers a holistic wellness solution through physical, mental and social interventions.",,,,,,,,,,,,,,,
Advantage Club,2021,11900000,2022,8500000,2023,3400000,NA,NA,NA,NA,Gurugram,HR tech,"Sourabh Deorah, Smiti Bhatt Deorah","Y Combinator, Broom Ventures, Kunal Shah",1700000,,"Advantage Club is India's largest employee engagement platform, Provide end to end employee benefit management with state of the art products like:",,,,,,,,,,,,,,,
SuperGaming,2021,38500000,2022,27500000,2023,11000000,NA,NA,NA,NA,Bangalore,Gaming,"Roby John, Sanket Nadhani, Navneet Waraich","Skycatcher, AET Fund, BAce Capital, Dream Incubator, 1Up Ventures",5500000,Series A,"At SuperGaming, building India's best gaming company.",,,,,,,,,,,,,,,
Ruptok,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Bangalore,Fintech,Ankur Gupta,Eclear Leasing,1000000,,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",,,,,,,,,,,,,,,
Khatabook,2021,700000000,2022,500000000,2023,200000000,NA,NA,NA,NA,Gurugram,Financial Services,"Ravish Naresh, Ashish Sonone","Tribe Capital, Moore Strategic Ventures (MSV)",100000000,Series C,Khatabook is the world's fastest-growing Saas company. It has become India's leading business management app for MSMEs with 50M+ downloads in a remarkably short period of time.,,,,,,,,,,,,,,,
Smytten,2021,42000000,2022,30000000,2023,12000000,NA,NA,NA,NA,Bangalore,Consumer Goods,"Swagat Sarangi, Siddhartha Nangia.",Fireside Ventures,6000000,Series A,India's largest premium discovery and trial platform!,,,,,,,,,,,,,,,
Syook,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,New Delhi,Electric Vehicle,"Saurabh Sharma, Aman Agarwal, Arjun Nagarajan","Inflection Point Ventures, ONGC",1000000,Series A,Syook is building the next generation enterprise IOT platform.,,,,,,,,,,,,,,,
NOTO,2021,3500000,2022,2500000,2023,1000000,NA,NA,NA,NA,Mumbai,Consumer Goods,"Varun Sheth, Ashni Sheth","Titan Capital, Rockstud Capital,  John Abraham, WEH Ventures",500000,Pre-series A,"A healthy, low-calorie ice cream for the millennial Indian with an incurable sweet tooth.",,,,,,,,,,,,,,,
Lumiq,2021,14000000,2022,10000000,2023,4000000,NA,NA,NA,NA,Bangalore,Information Technology,Shoaib Mohammad,Info Edge Ventures,2000000,Seed,Help enterprises monetize their data and reinvent the digital transformation journey.,,,,,,,,,,,,,,,
Breathe Well-being,2021,38500000,2022,27500000,2023,11000000,NA,NA,NA,NA,Chennai,Health Care,"Rohan Verma, Aditya Kaicker",Accel,5500000,Series A,"Help people to prevent, manage or reverse Type 2 Diabetes through our clinically proven digital program.",,,,,,,,,,,,,,,
goEgoNetwork,2021,14000000,2022,10000000,2023,4000000,NA,NA,NA,NA,Mumbai,Electric Vehicle,"Dheeman Kadam, Sayantan Chakraborti",,2000000,,"goEgo is a complete E Mobility charging solution, that combines engagement, rewards & adoption through a mix of online and offline channels.",,,,,,,,,,,,,,,
Probus,2021,3500000,2022,2500000,2023,1000000,NA,NA,NA,NA,Gurugram,Information Technology,"Anand Singh, Ankit Vaish, Sunny Kumar Jadoon",Unicorn India Ventures,500000,Bridge,"A mission to increase the per capita consumption of electricity in India by 10X, which is presently 1/3 of global average- by reducing the distribution losses in Indian electricity distribution grid.",,,,,,,,,,,,,,,
DrinkPrime,2021,7000000,2022,5000000,2023,2000000,NA,NA,NA,NA,Gurugram,Consumer Goods,Anil Kejriwal,"UC Inclusive Credit, Western Capital",1000000,,India's Smartest Water Purifiers and are redefining water purifier ownership.,,,,,,,,,,,,,,,
Smart Express,2021,70000000,2022,50000000,2023,20000000,NA,NA,NA,NA,Gurugram,Logistics & Supply Chain,Yogesh Dhingra,"IIFL India Private Equity Fund, Smiti Holding & Trading Company",10000000,Seed,India?s Most Innovative and Awarded Express Logistics Company.,,,,,,,,,,,,,,,
Smallcase,2021,280000000,2022,200000000,2023,80000000,NA,NA,NA,NA,Jaipur,Fintech,"Anugrah Shrivastava, Vasanth Kamath, Rohan Gupta",Faering Capital,40000000,Series C,Smallcase is a new way to invest in the stock markets.,,,,,,,,,,,,,,,
SATYA MicroCapital,2021,70000000,2022,50000000,2023,20000000,NA,NA,NA,NA,New Delhi,Investment Banking,Vivek Tiwari,"responsAbility Investments, Blue Orchard",10000000,,Satya MicroCapital Limited is a Delhi based NBFC serving low income entrepreneurs in rural and urban areas.,,,,,,,,,,,,,,,
Postman,2021,1575000000,2022,1125000000,2023,450000000,NA,NA,NA,NA,Mumbai,Computer software,"Abhinav Asthana, Abhijit Kane, Ankit Sobti","CRV, Nexus Venture Partners",225000000,Series D,Postman is the collaboration platform for API development.,,,,,,,,,,,,,,,
Hashnode,2021,46900000,2022,33500000,2023,13400000,NA,NA,NA,NA,Bangalore,Computer software,"Syed Fazle Rahman, Sandeep Panda","Salesforce Ventures, Sierra Ventures, Sequoia Capital India?s Surge",6700000,Series A,The easiest way to start a blog on personal domain for free & connect with the readers through our dev community,,,,,,,,,,,,,,,
RACEnergy,2021,9100000,2022,6500000,2023,2600000,NA,NA,NA,NA,Pune,Electric Vehicle,Arun Sreyas Reddy,"Micelio Fund, growX ventures",1300000,Seed+,RACEnergy is working to power the future of mobility through clean and efficient technologies.,,,,,,,,,,,,,,,
BharatPe,2021,140000000,2022,100000000,2023,40000000,NA,NA,NA,NA,Bangalore,Fintech,"Ashneer Grover, Shashvat Nakrani","IIFL Wealth, Asset Management, Northern Arc Capital",20000000,Debt,The vision to make financial inclusion a reality for Indian merchants.,,,,,,,,,,,,,,,
Gyde,2021,1750000,2022,1250000,2023,500000,NA,NA,NA,NA,Bangalore,Computer software,"Prasanna Vaidya, Shubham Deshmukh","Better Capital, Ashish Achrekar",250000,Seed,"Gyde is a SAAS product that enables enterprises & SAAS companies to guide their application (web & mobile) users with step-by-step voice assistance, byte-sized training videos & rich help articles.",,,,,,,,,,,,,,,
