Company/Brand,Year,HQ,Sector,Revenue,Founders,Investor,Amount($),Stage,What it does,Latitude,Longitude
Furlenco,2020,Bangalore,E-commerce,15400000,Ajith Mohan Karimpana,Chowdry Associates,2200000,Series C,Furniture rental startup,12.97912,77.5913
HempStreet,2020,Bangalore,Health Care,7000000,Abhishek Mohan,Pharmacon Holdings,1000000,Pre series A,Manufacturer of ayurvedic medicines based on cannabis,12.97912,77.5913
MoEngage,2020,Bangalore,Marketplace,175000000,"Raviteja Dodda, Yashwanth Kumar",Eight Roads Ventures,25000000,Series C,Customer analytics and cross-channel engagement platform,12.97912,77.5913
Classplus,2020,Bangalore,EdtTech,17500000,"Rustagi, Bhaswat Agarwal","Blume Ventures, Sequoia",2500000,Pre series A,It allows coaching centres to take their brick-and-mortar setup online,12.97912,77.5913
Chaayos,2020,Gurugram,Food & Beverages,150500000,"Nitin Saluja, Raghav Verma",Think Investment,21500000,,Provides customised range of tea,28.464615,77.029919
PetPooja,2020,Gurugram,SaaS,14000000,Apurv Patel,Udaan,2000000,,Restaurant management software provider,28.464615,77.029919
Pepperfry,2020,Bangalore,Marketplace,280000000,"Ambareesh Murty, Ashish Shah",Pidilite Industries,40000000,Series F,Online home furniture marketplace,12.97912,77.5913
FirstCry,2020,Bangalore,Marketplace,2072000000,"Supam Maheshwari, Amitava Saha",Softbank?s Vision Fund,296000000,Series E,Baby products marketplace,12.97912,77.5913
Byju,2020,Mumbai,EdtTech,1400000000,Byju Raveendran,General Atlantic,200000000,,Provides online learning classes,19.07599,72.877393
Waycool,2020,Bangalore,AgriTech,224000000,Karthick Jayraman and Sanjay Dasari,LightBox Ventures,32000000,Series C,Food development and distribution services,12.97912,77.5913
WorkIndia,2020,Bangalore,HR tech,42000000,Kunal Patil,Xiaomi,6000000,,An online and mobile-based platform that connects companies with blue collar employees.,12.97912,77.5913
Qyuki,2020,Noida,Media,24500000,"AR Rahman, Shekhar Kapur",Info Edge Venture Fund,3500000,,Multi-channel broadcast network,28.570784,77.327107
Leap India,2020,Chennai,AgriTech,210000000,Narain Karthikeyan.,Neev Fund,30000000,Series B,Agricultural warehousing and logistics company,13.083694,80.270186
Picxy,2020,Gurugram,Media,1750000,Jitendra Emmani,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan",250000,,Stock photo industry,28.4594965,77.0266383
Krimanshi,2020,Gurugram,AgriTech,140000,Nikhil Bohra,Arunachal Pradesh Social Entrepreneurship Meet,20000,,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,28.4594965,77.0266383
Dot Pvt. Ltd,2020,Bangalore,Fintech,56000000,Shailaz Nag,"PayU, Fosun RZ Capital",8000000,Seed Round,It provides digital transformation and commerce solutions to brick and mortar outlets,12.9715987,77.5945627
Kuku FM,2020,Noida,Media,38500000,"Lal Chand Bisu, Vikas Goyal, Vinod Kumar Meena",Vertex Ventures,5500000,Series A,A podcast platform,28.5355161,77.3910265
SuperMoney,2020,Bangalore,Fintech,7000000,Nikhil Banerjee,Unitus Ventures.,1000000,Pre series A,Provides financial tools for effective business making,12.9715987,77.5945627
Rebel Foods,2020,Kolkata,FoodTech,34300000,"Jaydeep Barman, Kallol Bannerjee",Alteria Capital,4900000,,It runs internet kitchen,22.572646,88.363895
Fox Capital,2020,Mumbai,Fintech,17500000,Rakesh Sharma,Institutional Investors,2500000,,Digital lending startup,19.0759837,72.8776559
Fleetx,2020,Bangalore,SaaS,9816800,"Vineet Sharma, Abhay Jeet Gupta, Udbhav Rai, Parveen Kataria, Vishal Misra",Beenext,1402400,Series A,Fleet management and predictive analytics platform,12.9715987,77.5945627
Embibe,2020,Bangalore,EdtTech,88328100,Aditi Avasthi,Reliance Industries Limited (RIL),12618300,,It provides AI-based data analytics to personalise learning outcomes,12.9715987,77.5945627
Entri,2020,Mumbai,EdtTech,9800000,"Mohammed Hisamuddin, Rahul Ramesh",Good Capital,1400000,Seed Round,It is a app that provides different types of learning content in local languages,19.0759837,72.8776559
Oye! Rickshaw,2020,Bangalore,Mobility,70000000,Akash Deep,Chiratae Ventures,10000000,Series A,App-based electric rickshaw hailing service,12.9715987,77.5945627
1MG,2020,Mumbai,Health Care,69300000,"Prashant Tandon, Gaurav Agarwal, Vikas Chauhan",Bill & Melinda Gates Foundation,9900000,,Online pharmacy,19.0759837,72.8776559
Doubtnut,2020,Bangalore,EdtTech,105000000,"Tanushri Nagori, Aditya Shankar",Tencent,15000000,Series A,Multi-lingual digital solutions platform for students,12.9715987,77.5945627
AdonMo,2020,Mumbai,Advertisement,21000000,"Sandeep Bommireddi, Sravanth Gajula",Ant Financial,3000000,,It is an online and outdoor advertising company,19.0759837,72.8776559
BharatPe,2020,Mumbai,Fintech,700000000,Ashneer Grover,Coatue Management,100000000,,Digital payments platform,19.0759837,72.8776559
Kisan Network,2020,Bangalore,AgriTech,21000000,"Aditya Agarwalla, Sanjay Agarwalla",Atsushi Taira,3000000,Seed Round,Integrated supply chain for farmers to sell their produce directly to buyers,12.9715987,77.5945627
Vogo,2020,Mumbai,Electric Vehicle,245000000,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,35000000,Series C,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,19.0759837,72.8776559
Yolo,2020,Bangalore,Transportation,4200000,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,600000,Seed Round,Intercity transportation startup,12.9715987,77.5945627
Unotech,2020,New Delhi,SaaS,14000000,Vikash Jha,Manish Choksi,2000000,,It develops fully-customisable open source software,28.6139391,77.2090212
Zetwerk,2020,Bangalore,Marketplace,15400000,"Amrit Acharya, Srinath Ramakkrushnan, Vishal Chaudhary",InnoVen capital,2200000,,B2B marketplace that connects manufacturing companies for industrial equipements,12.9715987,77.5945627
CureSkin,2020,Bangalore,Health Care,3500000,"Guna Kakulapati, Rama Rajanna, Charu Sharma",SenseAI Ventures,500000,,Provides a treatment solution for skincare and hair fall issues with an artificial intelligence-enabled solution,12.9715987,77.5945627
WizKlub,2020,Noida,EdtTech,6877710,Amit Bansal,Incubate Fund India,982530,Seed Funding,Helps students solve problems at complex level,28.5355161,77.3910265
Interviewbit,2020,Noida,EdtTech,1400000000,Abhimanyu Saxena,"Tiger Global Management, Sequoia Capital India, Singapore?s Economic Development Board (EBD)",200000000,Series A,Platform that provides coding and interview preparation course by industry professionals from tech companies,28.5355161,77.3910265
MoneyTap,2020,Bangalore,Fintech,491296400,"Bala Parthasarathy, Anuj Kacker, Kunal Varma","Aquiline Technology Growth (ATG), RTP Global, Sequoia India",70185200,Series B,App-based consumer credit line that gives customers access to credit on tap.,12.9715987,77.5945627
INdwealth,2020,Bangalore,Fintech,84000000,Ashish Kashyap,"Tiger Global, Steadview Capital, DF International Private Partners",12000000,Series C,An Artificial Intelligence and Machine learning based wealth management platform,12.9715987,77.5945627
Bizongo,2020,New Delhi,Marketplace,210000000,"Sachin Agarwal, Aniket Deb, Ankit Tomar",Schroder Adveq,30000000,Series C,A B2B marketplace for packaging materials,28.6139391,77.2090212
AppsFlyer,2020,Gurugram,SaaS,1470000000,"Oren Kaniel, Reshef Mann",General Atlantic,210000000,Series D,Mobile marketing analytics and attribution platform,28.4594965,77.0266383
Digit Insurance,2020,Mumbai,Insurtech,588000000,Kamesh Goyal,"A91 Partners, Faering Capital, TVS Capital",84000000,,General Insurance Company,19.0759837,72.8776559
Livspace,2020,Bangalore,Home Decor,420000000,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Tahoe Investment Group, Mercer Investment",60000000,Series D,It offers end-to-end home design experience for homeowners and home designers,12.9715987,77.5945627
LogiNext,2020,Mumbai,Electric Vehicle,273000000,"Dhruvil Sanghvi, Manisha Raisinghani","Tiger Global, Steadview Capital",39000000,Series B,"It helps logistics companies to improve internal operations, optimise delivery networks and provide customer service",19.0759837,72.8776559
Samosa Singh,2020,Ambernath,FoodTech,18900000,"Shikhar Veer Singh, Nidhi Singh",She Capital,2700000,Series A,Offers hygienic Indian Snacks,19.1825167,73.1926023
Crysta,2020,New Delhi,Health Care,9823800,,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli",1403400,Pre Series A,Offers diagnostic and screening services with regular counselling and clinical data management,28.6139391,77.2090212
Eupheus Learning,2020,Bangalore,EdtTech,30100000,"Sarvesh Shrivastava, Ved Prakash Khatri, Amit Kapoor",Yuj Ventures,4300000,Series A,"Provides technology-led, subscription-based learning solutions to schools",12.9715987,77.5945627
Bounce,2020,Bangalore,Electric Vehicle,735000000,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",105000000,Series D,Offers a variety of bikes and scooters that can be rented on a subscription basis,12.9715987,77.5945627
Park+,2020,Bangalore,Technology,77000000,Amit Lakhotia,"Sequoia Capital, Matrix Partners India",11000000,,It is engaged in bringing digitization in parking,12.9715987,77.5945627
SmartKarrot,2020,New Delhi,SaaS,7000000,"Prithwi Dasgupta, Arnab Chatterjee",Angel investors,1000000,,It tracks customers? real-time digital behaviour,28.6139391,77.2090212
Skylo,2020,Bangalore,Information Technology,721000000,Trivedi,SoftBank Group,103000000,Series B,Provides affordable and ever present network that connects machines or sensors,12.9715987,77.5945627
Tea Trunk,2020,Gurugram,Food & Beverages,1540000,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi",Angel investors,220000,,Global premium tea brand,28.4594965,77.0266383
Zoomcar,2020,New Delhi,Transportation,210000000,"Greg Moran, David Back",Sony Innovation Fund,30000000,Series D,A car rental service platform,28.6139391,77.2090212
Mera Cashier,2020,New Delhi,Fintech,1750000,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,","Amit Singal, Manish Aggarwal",250000,Seed Round,App meant for small and micro businessmen to manage their transactions digitally,28.6139391,77.2090212
Samya AI,2020,Hyderabad,SaaS,42000000,"Shailendra Singh, Deepinder Dhingra, Pavan Palety",Sequoia India,6000000,Seed Round,Revenue growth AI startup in the consumer packed goods (CPG) space,17.385044,78.486671
Kristal AI,2020,New Delhi,Artificial Intelligence,42000000,"Asheesh Chanda, Vineeth Narasimhan",Chiratae Ventures,6000000,Series A,Provides Algorithm-based financial services,28.6139391,77.2090212
Invento Robotics,2020,Ahmadabad,Artificial Intelligence,1969100,"Balaji Viswanathan, Be Limitless Inc., Zingfin.com, NalandaU","Windrose Capital, ITI Growth Opportunities Venture Fund",281300,Seed Round,Known for Mitra Series of Robots,23.022505,72.5713621
Medicus,2020,Bangalore,Health Care,88900,"Bhavesh Shah, Manav Shah",Angel investors,12700,,AI-based platform that explains and interprets blood tests and medical reports,12.9715987,77.5945627
Monech,2020,Bangalore,Fintech,88900,,Angel investors,12700,Seed Round,Automated platform which will help users to take their financial decisions,12.9715987,77.5945627
Teach Us,2020,Bangalore,EdtTech,88900,,Angel investors,12700,Seed Round,Educational portal which enables the students to access information related to education at one common platform,12.9715987,77.5945627
Phenom People,2020,Bangalore,HR tech,210000000,Mahe Bayireddi,WestBridge Capital,30000000,Series C,It redefines the means to search for a job and recruit top talent,12.9715987,77.5945627
Extra Edge,2020,Pune,EdtTech,4900000,Kavita Dhillon,"Sprout Venture Partners, Indian Angel Network",700000,Pre Series A,Admission Marketing Automation software for the education industry,18.5204303,73.8567437
Capital Quotient,2020,New Delhi,Fintech,4200000,Sousthav Chakrabarty,Undisclosed,600000,,Investment advisor,28.6139391,77.2090212
Karfa,2020,New Delhi,E-commerce,175000,Kartikeya Goel,Undisclosed,25000,Seed Round,It sells products crafted by artisans,28.6139391,77.2090212
Gamerji,2020,Bangalore,Gaming,2800000,"Soham Thacker, Varun Gajjar",La Gajjar Group,400000,,Esports tournament platform,12.9715987,77.5945627
Bounce,2020,Chennai,Electric Vehicle,682500000,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital",97500000,Series D,Offers a variety of bikes and scooters that can be rented on a subscription basis,13.0826802,80.2707184
Zinier,2020,Gurugram,Automation,630000000,Arka Dhar,ICONIQ Capital,90000000,Series C,Provides intelligent field service automation,28.4594965,77.0266383
Capital Float,2020,Mumbai,Fintech,105000000,"Gaurav Hinduja, Sashank Rishyasringa","Sequoia Capital, Ribbit Capital, Amazon, Saif Partners",15000000,,Digital lending,19.0759837,72.8776559
Ninjacart,2020,Mumbai,AgriTech,70000000,"Thirukumaran Nagarajan, Sharath Loganathan, Sachin Jose, Kartheeswaran KK, Vasudevan Chinnathambi","Flipkart India, Singapore-based GEC3",10000000,Series C,Online grocery delivery platform,19.0759837,72.8776559
TechnifyBiz,2020,New Delhi,AgriTech,14000000,"Akash Sharma, Abhishek Agarwal","Omnivore, Insitor Impact Asia Fund",2000000,Seed Round,Online marketplace for non-perishable food items,28.6139391,77.2090212
Wysh,2020,Bangalore,E-commerce,14000000,"Mahesh Gogineni, Varun MS, Manan Maheshwari",Kalaari Capital,2000000,Series A,Celebrity engagement and wishing platform,12.9715987,77.5945627
Keito,2020,New Delhi,Artificial Intelligence,1120000,Amal PS,Suma Soft Pvt Ltd,160000,Seed Round,Enterprise productivity startup,28.6139391,77.2090212
Klub,2020,Bangalore,Fintech,14000000,"Anurakt Jain, Ishita Verma",Sequoia Surge,2000000,Pre seed round,Provides growth financing to high-affinity brands,12.9715987,77.5945627
Rheo,2020,Panchkula,Entertainment,14000000,Gaurav Munjal,"Lightspeed Venture Partners, Sequoia Surge",2000000,,Online e-sports streaming and community platform,30.6942091,76.860565
Axio Biosolutions,2020,New Delhi,Pharmacy,36400000,Leo Mavely,Omidyar Network India,5200000,Series B,Medical device manufacturer,28.6139391,77.2090212
Techbooze,2020,Bangalore,Consulting,105000000,Mr. Subhashis Kar,Space Capital,15000000,Series A,"Business Development, Consulting and Funding facilitator for Startups Enterprise",12.9715987,77.5945627
Testbook,2020,Pune,EdtTech,58800000,"Praveen Agrawal, Yadvendar Champawat, Manoj Munna, Abhishek Sagar, Ashutosh Kumar, Narendra Agrawal",Iron Pillar,8400000,Series B,Helps students prepare online for competitive exams,18.5204303,73.8567437
FabAlley,2020,New Delhi,E-commerce,7700000,"Tanvi Malik, Shivani Poddar.",Trifecta Capital,1100000,,Online fashion store,28.6139391,77.2090212
Mamaearth,2020,New Delhi,E-commerce,128100000,"Ghazal Alagh, Varun Alagh",Sequoia India,18300000,Series A,Online baby and mother care brand,28.6139391,77.2090212
Rentomojo,2020,Thane,Rental,14000000,Geetansh Bamania,GMO Payment Gateway,2000000,,"Furniture, electronics, and appliance-centric consumer leasing platform",19.2183307,72.9780897
Zomato,2020,Bangalore,FoodTech,1050000000,Deepinder Goyal,Ant Financial,150000000,,Online food delivery and restaurant discovery platform,12.9715987,77.5945627
Byju,2020,Gurugram,EdtTech,1400000000,Byju Raveendran,Tiger Global,200000000,,Provides online learning classes,28.4594965,77.0266383
Generico,2020,New Delhi,Pharmacy,9800000,Siddharth Gadia,Alteria Capital,1400000,,Generic medicine focussed retail chain,28.6139391,77.2090212
HighRadius,2020,Bangalore,SaaS,875000000,Sashi Narahari,ICONIQ Capital,125000000,Series B,"An AI-based platform, to automate accounts receivables and treasury processes.",12.9715987,77.5945627
Chai Kings,2020,Bangalore,Food & Beverages,7000000,"Jahabar Sadique, Balaji Sadagopan",The Chennai Angels (TCA),1000000,,It offers a range of tea in various flavour,12.9715987,77.5945627
Rivigo,2020,Bangalore,Logistics & Supply Chain,23800000,"Deepak Garg, Gazal Kalra",Trifecta Capital,3400000,Series F,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",12.9715987,77.5945627
Shiksha,2020,New Delhi,EdtTech,1267000,Kanav Sachdeva,Mumbai Angels Network,181000,,It makes college selection easy for students looking to pursue UG and PG courses in India and abroad,28.6139391,77.2090212
Satin Creditcare,2020,New Delhi,Fintech,105000000,,Austrian Bank,15000000,,A micro finance company,28.6139391,77.2090212
XpressBees,2020,New Delhi,Logistics & Supply Chain,70000000,"Supam Maheshwari, Amitava Saha",Alibaba,10000000,,Provides end to end supply chain solutions,28.6139391,77.2090212
Wealth Bucket,2020,Mumbai,Fintech,21000000,"Himanshu Jain, Pulkit Jain","NorthStar, Vinod Khatumal",3000000,,An online platform for mutual fund investments,19.0759837,72.8776559
GoMechanic,2020,Bangalore,Electric Vehicle,102900000,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa","Chiratae Ventures, Sequoia Capital, Orios Venture Partners",14700000,Series B,Find automobile repair and maintenance service providers,12.9715987,77.5945627
Leverage Edu,2020,Bangalore,EdtTech,10500000,Akshay Chaturvedi,"DSG Consumer Partners, Blume Ventures",1500000,,AI enabled marketplace that provides career guidance,12.9715987,77.5945627
EpiFi,2020,Mumbai,Fintech,92400000,"Sujith Narayanan, Sumit Gwalani","Sequoia India, Ribbit Capital",13200000,Seed Round,It offers customers with a single interface for all their financial and banking mandates,19.0759837,72.8776559
Purplle,2020,New Delhi,Cosmetics,56000000,"Manish Taneja, Rahul Dash",Verlinvest,8000000,,Online makeup and beauty products retailer,28.6139391,77.2090212
Shuttl,2020,Bangalore,Transportation,56301000,"Amit Singh, Deepanshu Malviya",SIG Global India Fund LLP.,8043000,Series C,App based bus aggregator serice,12.9715987,77.5945627
Pando,2020,Andheri,Logistics & Supply Chain,63000000,"Jayakrishnan, Abhijeet Manohar",Chiratae Ventures,9000000,Series A,Networked logistics management software,19.113645,72.8697339
Unbox Robotics,2021,Gurugram,Artificial Intelligence,8400000,"Pramod Ghadge, Shahid Memon","BEENEXT, Entrepreneur First",1200000,Pre-series A,"Unbox Robotics builds on-demand AI-driven warehouse robotics solutions, which can be deployed using limited foot-print, time, and capital.",28.4594965,77.0266383
upGrad,2021,Noida,EdtTech,840000000,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala","Unilazer Ventures, IIFL Asset Management",120000000,,UpGrad is an online higher education platform.,28.5355161,77.3910265
Lead School,2021,Mumbai,EdtTech,210000000,"Smita Deorah, Sumeet Mehta","GSV Ventures, Westbridge Capital",30000000,Series D,LEAD School offers technology based school transformation system that assures excellent learning for every child.,19.0759837,72.8776559
Bizongo,2021,Mumbai,E-commerce,357000000,"Aniket Deb, Ankit Tomar, Sachin Agrawal","CDC Group, IDG Capital",51000000,Series C,Bizongo is a business-to-business online marketplace for packaging products.,19.0759837,72.8776559
FypMoney,2021,Bangalore,Fintech,14000000,Kapil Banwari,"Liberatha Kallat, Mukesh Yadav, Dinesh Nagpal",2000000,Seed,"FypMoney is Digital NEO Bank for Teenagers, empowering them with financial literacy and ease of secured financial transactions.",12.9715987,77.5945627
Urban Company,2021,Gurugram,Home Decor,1316000000,"Abhiraj Singh Bhal, Raghav Chandra, Varun Khaitan",Vy Capital,188000000,,"Urban Company (Formerly UrbanClap) is a home and beauty services platform in India, Middle East, Singapore and Australia",28.4594965,77.0266383
Comofi Medtech,2021,Gurugram,Health Care,1400000,Gururaj KB,"CIIE.CO, KIIT-TBI",200000,,Comofi Medtech is a healthcare robotics startup.,28.4594965,77.0266383
Taikee,2021,Bangalore,E-commerce,7000000,"Nidhi Ramachandran, Sachin Chhabra",,1000000,,"Taikee is the ISO-certified, B2B e-commerce platform of Peel-Works, enabling better lives for corner stores.",12.9715987,77.5945627
Fitterfly,2021,Mumbai,Health Care,21000000,Dr Arbinder Singal,"9Unicorns Accelerator Fund, Metaform Ventures",3000000,Pre-series A,"Fitterfly offers customized and personalized wellness programs for diabetes PCOS, pregnancy, weight loss, pediatric and nutrition.",19.0759837,72.8776559
FreeStand,2021,Haryana,B2B,700000,"Konark Sharma, Sneh Soni","SucSEED Indovation, IIM Calcutta Innovation Park",100000,,FreeStand enables FMCG brands to execute trackable and scalable product sampling campaigns.,29.0587757,76.085601
MyDentalPlan,2021,Hyderabad,Health Care,4900000,"Dr Mohender Narula, Dr AnandKrishna, Dr Girish Rao",Safe Planet Medicare,700000,Seed,My Dental Plan provides dental care packages and services.,17.385044,78.486671
Freyr Energy,2021,Bangalore,Renewable Energy,14000000,"Radhika Choudary, Saurabh Marda","Impact Partners, C4D Partners",2000000,,"Freyr Energy is a company that provides full service solar provider based in Hyderabad, India.",12.9715987,77.5945627
DealShare,2021,Mumbai,E-commerce,63000000,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Tiger Global Management, InnoVen Capital",9000000,,DealShare is a Social Commerce Startup,19.0759837,72.8776559
Smart Joules,2021,New Delhi,Renewable Energy,343000000,"Arjun P Gupta, Ujjal Majumdar, Sidhartha Gupta","Raintree Family Office, ADB arm",49000000,,Smart Joules is an energy management company.,28.6139391,77.2090212
ORAI,2021,Ahmadabad,Information Technology,2800000,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,400000,Pre-series A,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,23.022505,72.5713621
ixamBee,2021,Gurugram,EdtTech,2100000,Chandraprakash Joshi,"Mumbai Angels, Narendra Shyamsukha",300000,Seed,ixamBee is to provide best online learning experience for preparation of competitive exams.,28.4594965,77.0266383
CoinSwitch Kuber,2021,Chennai,Fintech,175000000,"Ashish Singhal, Govind Soni, Vimal Sagar Tiwari","Paradigm, Kunal Shah",25000000,Series B,CoinSwitch Kuber is an India-based cryptocurrency exchange platform.,13.0826802,80.2707184
Razorpay,2021,Mumbai,Fintech,1120000000,"Harshil Mathur, Shashank Kumar","Matrix Partners India, GIC",160000000,Series E,"Razorpay is a platform that enables businesses to accept, process, and disburse payments.",19.0759837,72.8776559
ZFW Hospitality,2021,Noida,Food & Beverages,1050000,Madhav Kasturia,"Mumbai Angels Network, Expert DOJO",150000,Pre-seed,Creating a sustainable and scalable cloud kitchen network.,28.5355161,77.3910265
Northern Arc,2021,Hyderabad,Fintech,35000000,Kshama Fernandes,"Kotak Mahindra Bank, FMO",5000000,,Northern Arc Capital is a Non-Banking Finance Company that provides borrows with access to debt investors.,17.385044,78.486671
Chara,2021,Gurugram,Deeptech,5950000,"Bhaktha Keshavachar, Ravi Prasad Sharma, Mahalingam Koushik",Kalaari Capital,850000,Seed,"A scalable, cloud-controlled, and rare earth mineral free Hardware and Software platform for the Switched Reluctance Motor and other magnet free motor technologies.",28.4594965,77.0266383
Sirona Hygiene,2021,Bangalore,Health Care,21000000,"Deep Bajaj, Mohit Bajaj","NB Ventures, IAN Fund",3000000,Series A,Solving unaddressed Intimate & Menstrual Hygiene issues with our award-winning innovative & modern products.,12.9715987,77.5945627
Pristyn Care,2021,New Delhi,Health Care,371000000,Harsimarbir (Harsh) Singh,"Sequoia Capital India, Hummingbird Ventures",53000000,Series D,Pristyn Care is Health Care Startup that is disrupting Elective Surgery Procedures,28.6139391,77.2090212
Vidyakul,2021,Bangalore,EdtTech,3500000,"Raman Garg, Tarun Saini","JITO Angel Network, SOSV",500000,Seed,Vidyakul is an vernacular e-learning platform that helps state board students to learn academics via pre-recorded and live lectures,12.9715987,77.5945627
Jambox Games,2021,Bangalore,Gaming,7700000,Ravi Vyas,,1100000,Seed,"A competitive game publishing platform to help developers in India and Southeast Asia to publish their games, and compete with the global incumbents.",12.9715987,77.5945627
SuperK,2021,Gurugram,Health Care,5600000,Neeraj Menta,STRIVE VC,800000,Seed,SuperK is a full-stack solution to empower small format retail stores in India.,28.4594965,77.0266383
TagZ Foods,2021,Chennai,Food Delivery,3500000,"Anish Basu Roy, Sagar Bhalotia",Venture Catalysts,500000,Pre-series A,TagZ Foods is a supplier of snacks and food products.,13.0826802,80.2707184
M1xchange,2021,Bangalore,Fintech,70000000,Sundeep Mohindru,Amazon,10000000,,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,12.9715987,77.5945627
Spintly,2021,Kolkata,Technology,3500000,Rohin Parkar,Riso Capital,500000,,Wireless cloud based access control platform,22.572646,88.363895
EF Polymer,2021,Hyderabad,AgriTech,1400000,Narayan Lal Gurjar,MTG Ventures,200000,,Sustainable Agriculture by creating sustainable inputs solution for agriculture to save water and fertilizer with enhancing yield.,17.385044,78.486671
LearnVern,2021,Kolkata,EdtTech,7000000,"Niral Modi, Aditi Modi",,1000000,,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,22.572646,88.363895
LimeChat,2021,Bangalore,Artificial Intelligence,52500000,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",7500000,Seed,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,12.9715987,77.5945627
Dybo,2021,Bangalore,Information Technology,700000,Dhawal Jain,Spanache,100000,Seed,Product Visualisation Technology for Commerce,12.9715987,77.5945627
moEVing,2021,Chennai,Logistics & Supply Chain,7000000,VIKASH MISHRA,,1000000,Seed,"Delivering clean, cost-effective and efficient mobility solutions.",13.0826802,80.2707184
WeWork India,2021,Gurugram,Hospitality,182000000,Karan Virwani,,26000000,,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",28.4594965,77.0266383
Beldara,2021,Bangalore,E-commerce,51800000,Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000,,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",12.9715987,77.5945627
CredFlow,2021,Telugana,Fintech,14000000,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000,Seed,CredFlow provides financial solutions to automate your cashflows.,18.1124372,79.0192997
Do Your Thng,2021,Bangalore,Marketplace,10500000,Ankit Agarwal,"Angelbay Holdings, Faad Network",1500000,,World's first shared economy platform for digital assets.,12.9715987,77.5945627
Oye Rickshaw,2021,New Delhi,Transportation,21000000,"Akash Deep, Mohit Sharma","Alteria Capital, Chiratae Ventures",3000000,,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,28.6139391,77.2090212
Legitquest,2021,Noida,Legal Services,4200000,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge",600000,,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,28.5355161,77.3910265
Swiggy,2021,Pune,Food Delivery,5600000000,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Carmignac, Falcon Edge Capital",800000000,,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,18.5204303,73.8567437
PlayShifu,2021,Bangalore,EdtTech,119000000,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund",17000000,Series B,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,12.9715987,77.5945627
Pitstop,2021,Mumbai,Electric Vehicle,24500000,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",3500000,Pre-series B,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,19.0759837,72.8776559
Lendingkart,2021,New Delhi,Fintech,105000000,"Harshvardhan Lunia, Mukul Sachan","Bertelsmann India Investments, Fullerton Financial Holdings",15000000,Debt,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,28.6139391,77.2090212
CRED,2021,Bangalore,Fintech,1505000000,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management",215000000,Series D,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,12.9715987,77.5945627
Karnival,2021,Mumbai,SaaS,17500000,Neeraj Tyagi,http://100x.vc/,2500000,Seed,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,19.0759837,72.8776559
